gene,freq,mean_abs_coef,mean_signed_coef,score
ENSG00000033170,0.99,0.22175855254367946,0.22175855254367946,0.21954096701824266
ENSG00000189308,0.99,0.21511282968920944,-0.21511282968920944,0.21296170139231735
ENSG00000137216,0.98,0.20179267457486652,0.20179267457486652,0.1977568210833692
ENSG00000177868,0.97,0.1995316222822968,0.1995316222822968,0.19354567361382788
ENSG00000170323,0.96,0.1987255481421073,0.1987255481421073,0.190776526216423
ENSG00000142856,0.98,0.18613144579561108,-0.18613144579561108,0.18240881687969887
ENSG00000169877,0.95,0.17009553558392662,0.17009553558392662,0.16159075880473028
ENSG00000160145,0.97,0.1575251285314033,-0.1575251285314033,0.1527993746754612
ENSG00000204613,0.93,0.15436682025136253,-0.15436682025136253,0.14356114283376717
ENSG00000171067,0.94,0.14704432832307493,-0.14704432832307493,0.13822166862369042
ENSG00000069535,0.93,0.1459879933658491,0.1459879933658491,0.1357688338302397
ENSG00000167110,0.94,0.14288854714571905,0.14288854714571905,0.1343152343169759
ENSG00000211445,0.9,0.14612986104414113,0.14612986104414113,0.13151687493972702
ENSG00000226777,0.9,0.14564453032689872,0.14564453032689872,0.13108007729420887
ENSG00000102225,0.95,0.13757352715598523,0.13757352715598523,0.13069485079818596
ENSG00000164292,0.94,0.1329776611417673,0.1329776611417673,0.12499900147326125
ENSG00000205593,0.93,0.13355558008097518,0.13355558008097518,0.12420668947530693
ENSG00000125868,0.94,0.131715115862068,0.131715115862068,0.1238122089103439
ENSG00000130202,0.94,0.13055441763065892,0.13055441763065892,0.12272115257281938
ENSG00000166428,0.95,0.1282821899743699,-0.1282821899743699,0.12186808047565141
ENSG00000173848,0.85,0.13985114492187292,-0.13985114492187292,0.11887347318359198
ENSG00000279928,0.91,0.12971545154856026,-0.12971545154856026,0.11804106090918984
ENSG00000186314,0.94,0.12481098640503743,0.12481098640503743,0.11732232722073518
ENSG00000153064,0.96,0.12089548181606029,-0.12089548181606029,0.11605966254341787
ENSG00000185559,0.87,0.12799381600906753,-0.12799381600906753,0.11135461992788875
ENSG00000243753,0.9,0.1200961294651373,0.1200961294651373,0.10808651651862357
ENSG00000165949,0.91,0.11475711318294615,0.11475711318294615,0.104428972996481
ENSG00000053770,0.85,0.11943708369499866,-0.11943708369499866,0.10152152114074886
ENSG00000087077,0.84,0.12047599256306937,-0.12047599256306937,0.10119983375297827
ENSG00000117009,0.83,0.11729342389670304,-0.11729342389670304,0.09735354183426352
ENSG00000216863,0.81,0.1190980668990379,-0.1190980668990379,0.09646943418822071
ENSG00000102781,0.85,0.11297302638527111,0.11297302638527111,0.09602707242748044
ENSG00000183019,0.82,0.11669290897900975,0.11669290897900975,0.09568818536278799
ENSG00000149657,0.8,0.11696140325354562,-0.11696140325354562,0.09356912260283651
ENSG00000001036,0.85,0.10980529439815735,-0.10980529439815735,0.09333450023843375
ENSG00000184207,0.85,0.10812832544312168,-0.10812832544312168,0.09190907662665342
ENSG00000186470,0.81,0.11138532688345494,0.11138532688345494,0.09022211477559851
ENSG00000103528,0.8,0.10863930732128839,-0.10863930732128839,0.08691144585703071
ENSG00000136247,0.83,0.1043965796365402,0.1043965796365402,0.08664916109832836
ENSG00000097046,0.84,0.10031382304262794,-0.10031382304262794,0.08426361135580747
ENSG00000179761,0.84,0.09702286237860525,-0.09702286237860525,0.08149920439802841
ENSG00000222032,0.83,0.09750501353622552,0.09750501353622552,0.08092916123506719
ENSG00000158457,0.99,0.07828958021653647,-0.07828958021653647,0.0775066844143711
ENSG00000054356,0.87,0.08723907846356399,-0.08723907846356399,0.07589799826330067
ENSG00000233822,0.81,0.09230733281318199,-0.09230733281318199,0.07476893957867742
ENSG00000120656,0.86,0.08665503390609193,-0.08665503390609193,0.07452332915923905
ENSG00000121879,0.81,0.08954717800663611,0.08954717800663611,0.07253321418537526
ENSG00000152270,0.85,0.0841665145413686,0.0841665145413686,0.0715415373601633
ENSG00000115170,0.96,0.07084130330724973,-0.07084130330724973,0.06800765117495974
ENSG00000075234,0.81,0.0796512764703477,-0.0796512764703477,0.06451753394098164
ENSG00000071051,0.9,0.05054614451573397,-0.05054614451573397,0.045491530064160575
ENSG00000172889,0.86,0.04587442046495074,-0.04587442046495074,0.039452001599857636
ENSG00000074416,0.82,0.0447849889934257,-0.0447849889934257,0.03672369097460907
ENSG00000168497,0.83,0.039648187711890784,-0.039648187711890784,0.03290799580086935
