gene,SHAP_LR,SHAP_LGBM,SHAP_XGB,auc_weighted_score
ENSG00000142856,0.24706040912360894,1.0117943202969562,0.51973414,0.9852795546575477
ENSG00000033170,0.22920428056595912,0.49736610997538366,0.2663146,0.6214430282863297
ENSG00000166428,0.19919548507085957,0.599318606817102,0.26793116,0.6213847494093059
ENSG00000130202,0.21345801072772297,0.4978789258114612,0.26669705,0.6028645038530541
ENSG00000137216,0.25925721460617235,0.3745384834703324,0.1737521,0.5550988209375927
ENSG00000243753,0.13997021220142805,0.33242001927170467,0.3599432,0.5179641587118139
ENSG00000101162,0.0019379032886133387,0.6925099673679613,0.41035786,0.5082185990495762
ENSG00000164292,0.1886947155810661,0.2766237689269717,0.21311937,0.46187530825005607
ENSG00000177868,0.20444664239791005,0.2481512806986765,0.19216524,0.4574269048439893
ENSG00000272888,0.0857198530822136,0.5664013650568129,0.24296588,0.4568258409243302
ENSG00000129757,0.0,0.3988107573385695,0.3262331,0.34992538651664995
ENSG00000075234,0.14500426883153134,0.28595571387858276,0.06456686,0.3155495352498696
ENSG00000011258,0.015136946129514457,0.4061536082040981,0.23453417,0.31096441050012896
ENSG00000279928,0.14032721057476424,0.14160139224761703,0.14179969,0.3105290992008686
ENSG00000120802,0.13018365980571475,0.17811939047401673,0.1303649,0.3034094703377345
ENSG00000173848,0.21748219266918817,0.013047644149529754,0.04998857,0.29955076132128167
ENSG00000188921,0.12347708446059939,0.17956709195164536,0.12248897,0.2906811525419255
ENSG00000158481,0.0060608664119140895,0.5581791927294553,0.119392924,0.2773234029554596
ENSG00000121879,0.08791059459652589,0.22186479388376842,0.14492571,0.27694189820260173
ENSG00000189308,0.21529701774338117,0.007128783914080939,0.018573768,0.27440296565649414
ENSG00000204613,0.17671553459883158,0.0552065814994929,0.061206173,0.27217630483015604
ENSG00000163631,0.17836242592119644,0.07184809684930711,0.049276236,0.2721197646805743
ENSG00000160145,0.13630856615633435,0.1696253996001932,0.066180795,0.26604938457873856
ENSG00000102225,0.19443392756432124,0.01879823683992672,0.03202911,0.26200991204628277
ENSG00000012779,0.02177681261031475,0.2900005168639687,0.20760028,0.2614298841644111
ENSG00000216863,0.10265184784302848,0.11206237153802337,0.14414601,0.2564159603403646
ENSG00000110955,0.0,0.3790723445720418,0.19139221,0.2552556121134625
ENSG00000097046,0.1769532667526595,0.0,0.05217039,0.24756504123996578
