gene,lasso_coef,glm_coef,rank
ENSG00000033170,0.38668981481960085,1.0399049727121625,1
ENSG00000142856,-0.3565666495286309,-0.7715825341776635,2
ENSG00000166428,-0.351937835901504,-1.696714469399242,3
ENSG00000163631,0.32860096924779403,0.6225884427283138,4
ENSG00000137216,0.30157330129459503,0.5935058110394944,5
ENSG00000205593,0.24570976025424682,0.8760627286796453,6
ENSG00000148634,0.21549440870356773,0.7191676481337173,7
ENSG00000130202,0.21498765596483843,0.6664658751450702,8
ENSG00000189308,-0.21104657663769047,-0.5787148199064815,9
ENSG00000115170,-0.19698797206642396,-0.8859126041959078,10
__intercept__,,-1.1141033377132505,0
